size,rank,batch_size,loading_time,computation_time
1,0,32,0.3024251461029053,106.91009640693665
2,1,32,0.23539400100708008,112.66624760627747
2,0,32,0.1732337474822998,112.72395944595337
4,1,32,0.2049415111541748,92.76575994491577
4,2,32,0.33261919021606445,92.73540568351746
4,3,32,0.22005748748779297,92.76396822929382
4,0,32,0.42972517013549805,92.58986759185791
8,0,32,0.06371068954467773,49.085195541381836
8,6,32,0.2189033031463623,49.27859950065613
8,5,32,0.06170010566711426,49.07321047782898
8,1,32,0.09635329246520996,49.0121910572052
8,7,32,0.11897778511047363,49.06737542152405
8,4,32,0.0834805965423584,49.412020444869995
8,2,32,0.11619949340820312,49.50065851211548
8,3,32,0.07760381698608398,49.087990283966064
